Time,Open,High,Low,Close,Volume
13.01.2014 18:00:00.000,1.36540,1.36993,1.36469,1.36830,183815.3308
14.01.2014 18:00:00.000,1.36831,1.36860,1.35814,1.35937,182008.1922
15.01.2014 18:00:00.000,1.35936,1.36493,1.35830,1.35931,175109.3097
16.01.2014 18:00:00.000,1.35931,1.36233,1.35255,1.35316,162202.8800
17.01.2014 18:00:00.000,1.35317,1.35409,1.35169,1.35389,22055.8201
18.01.2014 18:00:00.000,1.35389,1.35389,1.35389,1.35389,0.0000
19.01.2014 18:00:00.000,1.35389,1.35679,1.35075,1.35599,113838.4400
20.01.2014 18:00:00.000,1.35600,1.35687,1.35164,1.35502,166648.7086
21.01.2014 18:00:00.000,1.35502,1.35835,1.35345,1.35509,168986.8319
22.01.2014 18:00:00.000,1.35508,1.36876,1.35303,1.36749,231556.2208
23.01.2014 18:00:00.000,1.36750,1.37394,1.36627,1.36829,232531.7606
24.01.2014 18:00:00.000,1.36828,1.36908,1.36736,1.36737,21949.0197
25.01.2014 18:00:00.000,1.36737,1.36737,1.36737,1.36737,0.0000
26.01.2014 18:00:00.000,1.36737,1.37166,1.36531,1.36781,175905.9687
27.01.2014 18:00:00.000,1.36783,1.36885,1.36290,1.36628,174388.7717
28.01.2014 18:00:00.000,1.36630,1.36846,1.36030,1.36594,199916.1990
29.01.2014 18:00:00.000,1.36597,1.36745,1.35434,1.35522,255305.8400
30.01.2014 18:00:00.000,1.35521,1.35728,1.34790,1.35052,239793.4222
31.01.2014 18:00:00.000,1.35052,1.35095,1.34802,1.34827,25263.3604
01.02.2014 18:00:00.000,1.34827,1.34827,1.34827,1.34827,0.0000
02.02.2014 18:00:00.000,1.34827,1.35354,1.34772,1.35170,200102.2602
03.02.2014 18:00:00.000,1.35171,1.35385,1.34934,1.35212,214856.3116
04.02.2014 18:00:00.000,1.35213,1.35554,1.34990,1.35333,208649.8809
05.02.2014 18:00:00.000,1.35333,1.36188,1.34820,1.36006,220545.1504
05.02.2014 18:00:00.000,1.35333,1.36188,1.34820,1.36006,220545.1504
06.02.2014 18:00:00.000,1.36006,1.36424,1.35519,1.36204,199001.0419
07.02.2014 18:00:00.000,1.36209,1.36405,1.36144,1.36342,22635.5498
08.02.2014 18:00:00.000,1.36342,1.36342,1.36342,1.36342,0.0000
09.02.2014 18:00:00.000,1.36342,1.36514,1.36160,1.36417,128332.6609
10.02.2014 18:00:00.000,1.36417,1.36829,1.36295,1.36488,180342.0196
11.02.2014 18:00:00.000,1.36488,1.36527,1.35623,1.35850,193969.9396
12.02.2014 18:00:00.000,1.35849,1.36918,1.35843,1.36701,204354.8802
13.02.2014 18:00:00.000,1.36702,1.37147,1.36663,1.36954,177872.3491
14.02.2014 18:00:00.000,1.36954,1.37013,1.36910,1.36914,12335.8801
15.02.2014 18:00:00.000,1.36914,1.36914,1.36914,1.36914,0.0000
16.02.2014 18:00:00.000,1.36914,1.37240,1.36914,1.36961,109351.6293
17.02.2014 18:00:00.000,1.36962,1.37704,1.36946,1.37540,170848.1509
18.02.2014 18:00:00.000,1.37539,1.37731,1.37393,1.37520,148385.9688
19.02.2014 18:00:00.000,1.37518,1.37625,1.36855,1.37009,156929.4196
20.02.2014 18:00:00.000,1.37009,1.37586,1.37002,1.37354,121289.4603
21.02.2014 18:00:00.000,1.37354,1.37471,1.37347,1.37375,10888.8202
22.02.2014 18:00:00.000,1.37375,1.37375,1.37375,1.37375,0.0000
23.02.2014 18:00:00.000,1.37375,1.37710,1.37084,1.37365,108351.2701
24.02.2014 18:00:00.000,1.37365,1.37671,1.37155,1.37523,133551.2609
25.02.2014 18:00:00.000,1.37523,1.37571,1.36617,1.36717,148853.2895
26.02.2014 18:00:00.000,1.36718,1.37268,1.36432,1.37119,151369.9006
27.02.2014 18:00:00.000,1.37107,1.38239,1.36941,1.38084,170081.7599
28.02.2014 18:00:00.000,1.38072,1.38248,1.37969,1.37990,22329.7398
01.03.2014 18:00:00.000,1.37990,1.37990,1.37990,1.37990,0.0000
02.03.2014 18:00:00.000,1.37990,1.37990,1.37357,1.37359,116033.7093
03.03.2014 18:00:00.000,1.37357,1.37815,1.37208,1.37333,130741.6207
04.03.2014 18:00:00.000,1.37333,1.37488,1.37075,1.37349,120730.4307
05.03.2014 18:00:00.000,1.37348,1.38729,1.37212,1.38590,158560.3493
06.03.2014 18:00:00.000,1.38593,1.39150,1.38521,1.38749,147991.4397
07.03.2014 18:00:00.000,1.38749,1.38787,1.38664,1.38753,10497.6601
08.03.2014 18:00:00.000,1.38753,1.38753,1.38753,1.38753,0.0000
09.03.2014 19:00:00.000,1.38753,1.38978,1.38616,1.38736,97278.7400
10.03.2014 19:00:00.000,1.38737,1.38787,1.38338,1.38638,118585.4691
11.03.2014 19:00:00.000,1.38643,1.39142,1.38433,1.39029,147506.8595
12.03.2014 19:00:00.000,1.39031,1.39667,1.38513,1.38575,189625.3616
13.03.2014 19:00:00.000,1.38573,1.39372,1.38456,1.38998,178214.2314
14.03.2014 19:00:00.000,1.38999,1.39132,1.38994,1.39126,8608.8900
15.03.2014 19:00:00.000,1.39126,1.39126,1.39126,1.39126,0.0000
16.03.2014 19:00:00.000,1.39126,1.39475,1.38791,1.39245,113070.7905
17.03.2014 19:00:00.000,1.39246,1.39425,1.38799,1.39219,136578.9302
18.03.2014 19:00:00.000,1.39219,1.39346,1.38992,1.39155,110222.8692
19.03.2014 19:00:00.000,1.39155,1.39192,1.37494,1.37769,194162.1909
19.03.2014 19:00:00.000,1.39155,1.39192,1.37494,1.37769,194162.1909
20.03.2014 19:00:00.000,1.37762,1.38106,1.37657,1.37951,115405.5702
21.03.2014 19:00:00.000,1.37954,1.38008,1.37884,1.37919,10175.6296
22.03.2014 19:00:00.000,1.37919,1.37919,1.37919,1.37919,0.0000
23.03.2014 19:00:00.000,1.37919,1.38754,1.37604,1.38754,113720.0398
24.03.2014 19:00:00.000,1.38754,1.38754,1.37491,1.38267,170208.2097
25.03.2014 19:00:00.000,1.38268,1.38300,1.37766,1.37886,156848.5508
26.03.2014 19:00:00.000,1.37884,1.37979,1.37286,1.37458,153176.7694
27.03.2014 19:00:00.000,1.37459,1.37730,1.37048,1.37531,127922.4691
28.03.2014 19:00:00.000,1.37531,1.37570,1.37480,1.37504,6563.9201
29.03.2014 19:00:00.000,1.37504,1.37504,1.37504,1.37504,0.0000
30.03.2014 19:00:00.000,1.37504,1.38067,1.37216,1.37698,110711.5890
31.03.2014 19:00:00.000,1.37698,1.38155,1.37679,1.37922,99555.1094
01.04.2014 19:00:00.000,1.37922,1.38202,1.37532,1.37636,93689.2196
02.04.2014 19:00:00.000,1.37637,1.38064,1.36982,1.37151,146307.8607
03.04.2014 19:00:00.000,1.37149,1.37308,1.36728,1.37020,140638.7811
