Getting Data...
finding optimal breakout day len and atr open...
netR: -0.29895807654011397, days: 12, open_atr: 0.7
netR: -5.299015321817196, days: 12, open_atr: 0.8
netR: -9.038001395926798, days: 12, open_atr: 0.9
netR: -11.839357335753007, days: 12, open_atr: 1.0
netR: -13.061505698118523, days: 12, open_atr: 1.1
netR: -14.11469507528655, days: 12, open_atr: 1.2
netR: -16.289984790300885, days: 12, open_atr: 1.3
netR: -18.615840945542658, days: 12, open_atr: 1.4
netR: -19.903543058723436, days: 12, open_atr: 1.5
netR: -21.80595843253881, days: 12, open_atr: 1.6
netR: -24.791346655424586, days: 12, open_atr: 1.7
netR: -27.04165352723811, days: 12, open_atr: 1.8
netR: -25.78198233375453, days: 12, open_atr: 1.9
netR: -22.566635691952794, days: 12, open_atr: 2.0
netR: -18.75859511638014, days: 12, open_atr: 2.1
netR: -16.972673370498004, days: 12, open_atr: 2.2
netR: -18.0015435257736, days: 12, open_atr: 2.3
netR: -19.667977075791867, days: 12, open_atr: 2.4
netR: -22.242838704661196, days: 12, open_atr: 2.5
netR: -23.894534498661326, days: 12, open_atr: 2.6
netR: -26.442362783107896, days: 12, open_atr: 2.7
netR: -27.90957715021588, days: 12, open_atr: 2.8
netR: -28.143877270373853, days: 12, open_atr: 2.9
netR: -28.4589333074291, days: 12, open_atr: 3.0
netR: -28.715141443697078, days: 12, open_atr: 3.1
netR: -31.08714960055385, days: 12, open_atr: 3.2
netR: -32.14025028124784, days: 12, open_atr: 3.3
netR: -32.29486161050044, days: 12, open_atr: 3.4
netR: -30.331324404113698, days: 12, open_atr: 3.5
netR: -29.358251511058487, days: 12, open_atr: 3.6
netR: -27.851935628549928, days: 12, open_atr: 3.7
